SampleID	Sample	Species_name	Genus	Sp	PNA	Location	Anatomy	DNA-origin	NanoDrop	Sp_PNA	Extraction_date	Keep
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	Numeric	categorical	categorical	categorical
ChoNu1	ChoNu1	Chondrilla_nucula	Chondrilla	ChoNu	N	Grotta del Mago	Whole	DNA_GF_CN1	20.7	ChoNuN	July_2018	Keep
ChoNu1-PNA	ChoNu1	Chondrilla_nucula	Chondrilla	ChoNu	Y	Grotta del Mago	Whole	DNA_GF_CN1	20.7	ChoNuY	July_2018	Keep
ChoNu2	ChoNu2	Chondrilla_nucula	Chondrilla	ChoNu	N	Grotta del Mago	Whole	DNA_SA_CN3	231.2	ChoNuN	July_2018	Keep
ChoNu2-PNA	ChoNu2	Chondrilla_nucula	Chondrilla	ChoNu	Y	Grotta del Mago	Whole	DNA_SA_CN3	231.2	ChoNuY	July_2018	Keep
ChoNu3	ChoNu3	Chondrilla_nucula	Chondrilla	ChoNu	N	Grotta del Mago	Whole	DNA_GM_CN3	90.9	ChoNuN	July_2018	Keep
ChoNu3-PNA	ChoNu3	Chondrilla_nucula	Chondrilla	ChoNu	Y	Grotta del Mago	Whole	DNA_GM_CN3	90.9	ChoNuY	July_2018	Keep
ChoNu4	ChoNu4	Chondrilla_nucula	Chondrilla	ChoNu	N	Grotta del Mago	Whole	DNA_GM_CN5	4	ChoNuN	July_2018	Keep
ChoNu4-PNA	ChoNu4	Chondrilla_nucula	Chondrilla	ChoNu	Y	Grotta del Mago	Whole	DNA_GM_CN5	4	ChoNuY	July_2018	Keep
ChoNu5	ChoNu5	Chondrilla_nucula	Chondrilla	ChoNu	N	Grotta del Mago	Whole	DNA_GF_CN3	94	ChoNuN	July_2018	Keep
ChoNu5-PNA	ChoNu5	Chondrilla_nucula	Chondrilla	ChoNu	Y	Grotta del Mago	Whole	DNA_GF_CN3	94	ChoNuY	July_2018	Keep
ChoRe1	ChoRe1	Chondrosia_reniformis	Chondrosia	ChoRe	N	Grotta del Mago	Whole	DNA_GF_CR2	227.7	ChoReN	July_2018	Keep
ChoRe1-PNA	ChoRe1	Chondrosia_reniformis	Chondrosia	ChoRe	Y	Grotta del Mago	Whole	DNA_GF_CR2	227.7	ChoReY	July_2018	Keep
ChoRe2	ChoRe2	Chondrosia_reniformis	Chondrosia	ChoRe	N	Grotta del Mago	Whole	DNA_CCO_CR1	221.6	ChoReN	July_2018	Keep
ChoRe2-PNA	ChoRe2	Chondrosia_reniformis	Chondrosia	ChoRe	Y	Grotta del Mago	Whole	DNA_CCO_CR1	221.6	ChoReY	July_2018	Keep
ChoRe3	ChoRe3	Chondrosia_reniformis	Chondrosia	ChoRe	N	Grotta del Mago	Whole	DNA_GM_CR4	268.5	ChoReN	July_2018	Keep
ChoRe3-PNA	ChoRe3	Chondrosia_reniformis	Chondrosia	ChoRe	Y	Grotta del Mago	Whole	DNA_GM_CR4	268.5	ChoReY	July_2018	Keep
ChoRe4	ChoRe4	Chondrosia_reniformis	Chondrosia	ChoRe	N	Grotta del Mago	Whole	DNA_GM_CR2	391	ChoReN	July_2018	Keep
ChoRe4-PNA	ChoRe4	Chondrosia_reniformis	Chondrosia	ChoRe	Y	Grotta del Mago	Whole	DNA_GM_CR2	391	ChoReY	July_2018	Keep
ChoRe5	ChoRe5	Chondrosia_reniformis	Chondrosia	ChoRe	N	Grotta del Mago	Whole	DNA_CAC_CR3	285.8	ChoReN	July_2018	Keep
ChoRe5-Bad	ChoRe5	Chondrosia_reniformis	Chondrosia	ChoRe	N	Grotta del Mago	Whole	DNA_CAC_CR3	285.8	ChoReN	July_2018	Bad
ChoRe5-PNA	ChoRe5	Chondrosia_reniformis	Chondrosia	ChoRe	Y	Grotta del Mago	Whole	DNA_CAC_CR3	285.8	ChoReY	July_2018	Keep
CraC1	CraC1	Crambe_crambe	Crambe	CraC	N	Grotta del Mago	Whole	DNA_CAC_CC1	84.1	CraCN	July_2018	Keep
